date,hour,temperature_2m,precipitation,cloudcover,windspeed_10m
2024-08-10,0,24.4,0.2,100.0,21.1
2024-08-10,1,24.0,0.0,100.0,17.5
2024-08-10,2,24.1,0.8,100.0,15.6
2024-08-10,3,24.1,0.0,100.0,13.0
2024-08-10,4,23.9,0.0,100.0,13.0
2024-08-10,5,23.9,0.0,100.0,11.9
2024-08-10,6,24.4,0.0,100.0,14.0
2024-08-10,7,24.1,0.0,1.0,11.7
2024-08-10,8,23.7,0.0,1.0,9.0
2024-08-10,9,23.1,0.0,0.0,8.7
2024-08-10,10,22.6,0.0,4.0,9.7
2024-08-10,11,22.5,0.0,50.0,6.8
2024-08-10,12,23.9,0.0,0.0,8.2
2024-08-10,13,24.9,0.0,6.0,9.6
2024-08-10,14,26.3,0.0,3.0,12.1
2024-08-10,15,27.8,0.0,2.0,10.6
2024-08-10,16,29.3,0.0,1.0,13.4
2024-08-10,17,31.2,0.0,5.0,20.5
2024-08-10,18,31.2,0.0,0.0,15.8
2024-08-10,19,31.5,0.0,9.0,18.3
2024-08-10,20,31.5,0.0,34.0,19.7
2024-08-10,21,31.2,0.0,12.0,21.7
2024-08-10,22,31.7,0.0,94.0,21.5
2024-08-10,23,31.1,0.0,92.0,15.6
